Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Ши дѣка пости патρꙋζечи де зиле, ши патρꙋζеч де нопци, апои флъмѫнζи.	Și după ce a postit patruzeci de zile și patruzeci de nopți, la urmă a flămânzit.
Ши апρопїиндꙋсѫ кътρѫ ел испититоρюл, зисъ лꙋи, де ещи фїюл лꙋй дꙋмнеѕеꙋ зи чѣсте пїетρи съ фїе пъини.	Și apropiindu-se, ispititorul a zis către El: De ești Tu Fiul lui Dumnezeu, zi ca pietrele acestea să se facă pâini.
Ѩρѫ Ел ρъспꙋнсе зисе, скρис ѩсте, нꙋ нꙋмаи кꙋ пъине ва тρѫи ѡмꙋл, че кꙋ тот кꙋвънтꙋл каρеле ѩсе де ꙟгꙋρа лꙋи дꙋмнеѕеꙋ.	Iar El, răspunzând, a zis: Scris este: "Nu numai cu pâine va trăi omul, ci cu tot cuvântul care iese din gura lui Dumnezeu".
Атꙋнчи лꙋѡ Сꙋс пρе Ел дїаволꙋл ꙟтρꙋ Сфинта четате, шил пꙋсе пρе ель спρе аρепиле бесѣρечїи.	Atunci diavolul L-a dus pe aripa în sfânta cetate, L-a pus pe aripa templului,
Ши зисе лꙋи, Сѫ ещи фїꙋл лꙋи дꙋмнеѕеꙋ, аρꙋнкъте џѡс, кѫ скρис ѩсте (кѫва поρꙋнчи ꙟџеρилѡρ съй де тине, ши спρе мъни лꙋатевоρь, Съ нꙋ къндва потикнещи де пїатρѫ пичоρꙋль тъꙋ.	Și I-a zis: Dacă Tu ești Fiul lui Dumnezeu, aruncă-Te jos, că scris este: "Îngerilor Săi va porunci pentru Tine și Te vor ridica pe mâini, ca nu cumva să izbești de piatră piciorul Tău".
Зисе ЇС лꙋи, ѩρѫ ѩсте скρис, сънꙋ испитещ пρе домнꙋл дꙋмнеѕъꙋл тъꙋ.	Iisus i-a răspuns: Iarăși este scris: "Să nu ispitești pe Domnul Dumnezeul tău".
Ѩρѫ лꙋѡ пρе Ел дїаволꙋл ꙟтρꙋн мꙋнте ꙟналт фоаρте, ши аρътѫ лꙋи тоате ꙟпъρъцїиле лꙋмїи, ши фρъмсѣцѣ лѡρ,	Din nou diavolul L-a dus pe un munte foarte înalt și I-a arătat toate împărățiile lumii și slava lor.
Ши зисе лꙋи, тоате ачѣстѣ вою да цие детевеи плека съте ꙟкини мие.	Și I-a zis Lui: Acestea toate Ți le voi da Ție, dacă vei cădea înaintea mea și Te vei închina mie.
Атꙋнче зисе ЇС лꙋи, дꙋте Сатано, къ Скρис ѩсте, домнꙋлꙋи дꙋмнеѕеꙋлꙋи тъу съте ꙟкини, ши лꙋи сънгꙋρ слꙋжаще.	Atunci Iisus i-a zis: Piei, satano, căci scris este: "Domnului Dumnezeului tău să te închini și Lui singur să-I slujești".
Атꙋнчѣ лъсѫ пρе Ел дїѩволꙋл: ши ѩтѫ ꙟџеρїи сѫ апρопїаρѫ ши слꙋжїѧ лꙋи.	Atunci L-a lăsat diavolul și iată îngerii, venind la El, Îi slujeau.
